1####Halifax General Hospital####Hospital####1796 Summer St, Halifax, NS####@@@@
2####Halifax West Health Clinic####Clinic####7071 Bayers Rd, Halifax, NS####@@@@
3####Dalhousie Medical Centre####Hospital####6299 South St, Halifax, NS####@@@@
4####Bedford Community Health Centre####Clinic####230 Gary Martin Dr, Bedford, NS####@@@@
5####Dartmouth Waterfront Health Centre####Clinic####40 Alderney Dr, Dartmouth, NS####@@@@
6####Cape Breton Regional Hospital####Hospital####1482 George St, Sydney, NS####@@@@
7####Truro Regional Hospital####Hospital####207 Willow St, Truro, NS####@@@@
8####New Glasgow Health Clinic####Clinic####794 E River Rd, New Glasgow, NS####@@@@
9####Halifax Heart Institute####Hospital####5980 University Ave, Halifax, NS####@@@@
10####Dartmouth Surgical Centre####Clinic####144 Portland St, Dartmouth, NS####@@@@
11####Facility_11####Clinic####216 Pine St, City Z####@@@@
303####Facility_303####Clinic####34 Elm St, City F####@@@@
304####Facility_304####Hospital####353 Maple St, City X####@@@@
305####Facility_305####Clinic####201 Pine St, City U####@@@@
306####Facility_306####Hospital####870 Pine St, City V####@@@@
307####Facility_307####Clinic####951 Cedar St, City O####@@@@
308####Facility_308####Hospital####618 Elm St, City O####@@@@
309####Facility_309####Clinic####35 Oak St, City D####@@@@
310####Facility_310####Hospital####377 Cedar St, City J####@@@@
311####Facility_311####Clinic####106 Cedar St, City M####@@@@
312####Facility_312####Hospital####506 Elm St, City K####@@@@
313####Facility_313####Clinic####96 Oak St, City K####@@@@
314####Facility_314####Hospital####693 Pine St, City T####@@@@
315####Facility_315####Clinic####560 Pine St, City L####@@@@
316####Facility_316####Hospital####484 Maple St, City T####@@@@
317####Facility_317####Clinic####52 Cedar St, City D####@@@@
318####Facility_318####Hospital####661 Oak St, City B####@@@@
319####Facility_319####Clinic####967 Maple St, City V####@@@@
320####Facility_320####Hospital####268 Oak St, City V####@@@@
321####Facility_321####Clinic####402 Maple St, City X####@@@@
322####Facility_322####Hospital####229 Maple St, City Z####@@@@
323####Facility_323####Clinic####760 Pine St, City I####@@@@
324####Facility_324####Hospital####34 Elm St, City K####@@@@
325####Facility_325####Clinic####98 Cedar St, City K####@@@@
326####Facility_326####Hospital####588 Birch St, City V####@@@@
327####Facility_327####Clinic####30 Cedar St, City K####@@@@
328####Facility_328####Hospital####511 Maple St, City S####@@@@
329####Facility_329####Clinic####824 Pine St, City B####@@@@
330####Facility_330####Hospital####937 Pine St, City I####@@@@
331####Facility_331####Clinic####313 Elm St, City E####@@@@
332####Facility_332####Hospital####756 Birch St, City M####@@@@
333####Facility_333####Clinic####233 Maple St, City N####@@@@
334####Facility_334####Hospital####827 Pine St, City B####@@@@
335####Facility_335####Clinic####195 Maple St, City Q####@@@@
336####Facility_336####Hospital####950 Birch St, City M####@@@@
337####Facility_337####Clinic####84 Birch St, City B####@@@@
338####Facility_338####Hospital####468 Maple St, City E####@@@@
339####Facility_339####Clinic####866 Oak St, City C####@@@@
340####Facility_340####Hospital####321 Cedar St, City E####@@@@
341####Facility_341####Clinic####633 Birch St, City L####@@@@
342####Facility_342####Hospital####32 Birch St, City B####@@@@
343####Facility_343####Clinic####798 Birch St, City U####@@@@
344####Facility_344####Hospital####456 Cedar St, City Q####@@@@
345####Facility_345####Clinic####548 Birch St, City R####@@@@
346####Facility_346####Hospital####875 Maple St, City Q####@@@@
347####Facility_347####Clinic####986 Oak St, City L####@@@@
348####Facility_348####Hospital####656 Maple St, City L####@@@@
349####Facility_349####Clinic####401 Maple St, City Z####@@@@
350####Facility_350####Hospital####464 Pine St, City K####@@@@
351####Facility_351####Clinic####894 Pine St, City B####@@@@
352####Facility_352####Hospital####198 Birch St, City M####@@@@
353####Facility_353####Clinic####801 Maple St, City E####@@@@
354####Facility_354####Hospital####766 Maple St, City N####@@@@
355####Facility_355####Clinic####374 Cedar St, City Q####@@@@
356####Facility_356####Hospital####537 Cedar St, City P####@@@@
357####Facility_357####Clinic####422 Maple St, City X####@@@@
358####Facility_358####Hospital####255 Elm St, City I####@@@@
359####Facility_359####Clinic####692 Cedar St, City R####@@@@
360####Facility_360####Hospital####32 Cedar St, City K####@@@@
361####Facility_361####Clinic####313 Pine St, City F####@@@@
362####Facility_362####Hospital####428 Pine St, City Z####@@@@
363####Facility_363####Clinic####161 Oak St, City O####@@@@
364####Facility_364####Hospital####97 Oak St, City I####@@@@
365####Facility_365####Clinic####188 Birch St, City Y####@@@@
366####Facility_366####Hospital####142 Maple St, City T####@@@@
367####Facility_367####Clinic####25 Pine St, City B####@@@@
368####Facility_368####Hospital####906 Cedar St, City N####@@@@
369####Facility_369####Clinic####158 Cedar St, City B####@@@@
370####Facility_370####Hospital####52 Pine St, City W####@@@@
371####Facility_371####Clinic####86 Pine St, City Q####@@@@
372####Facility_372####Hospital####976 Birch St, City O####@@@@
373####Facility_373####Clinic####800 Maple St, City Q####@@@@
374####Facility_374####Hospital####676 Oak St, City B####@@@@
375####Facility_375####Clinic####645 Pine St, City Z####@@@@
376####Facility_376####Hospital####649 Oak St, City U####@@@@
377####Facility_377####Clinic####431 Maple St, City P####@@@@
378####Facility_378####Hospital####368 Pine St, City C####@@@@
379####Facility_379####Clinic####84 Pine St, City X####@@@@
380####Facility_380####Hospital####750 Maple St, City M####@@@@
381####Facility_381####Clinic####848 Birch St, City R####@@@@
382####Facility_382####Hospital####588 Maple St, City M####@@@@
383####Facility_383####Clinic####829 Elm St, City A####@@@@
384####Facility_384####Hospital####502 Oak St, City A####@@@@
385####Facility_385####Clinic####563 Birch St, City B####@@@@
386####Facility_386####Hospital####10 Birch St, City X####@@@@
387####Facility_387####Clinic####495 Cedar St, City B####@@@@
388####Facility_388####Hospital####984 Birch St, City K####@@@@
389####Facility_389####Clinic####925 Oak St, City N####@@@@
390####Facility_390####Hospital####75 Birch St, City E####@@@@
391####Facility_391####Clinic####141 Maple St, City L####@@@@
392####Facility_392####Hospital####734 Birch St, City M####@@@@
393####Facility_393####Clinic####234 Elm St, City L####@@@@
394####Facility_394####Hospital####206 Elm St, City R####@@@@
395####Facility_395####Clinic####674 Cedar St, City S####@@@@
396####Facility_396####Hospital####985 Pine St, City Y####@@@@
397####Facility_397####Clinic####27 Oak St, City U####@@@@
398####Facility_398####Hospital####484 Maple St, City V####@@@@
399####Facility_399####Clinic####686 Birch St, City Q####@@@@
400####Facility_400####Hospital####299 Maple St, City K####@@@@
401####Facility_401####Clinic####578 Pine St, City Y####@@@@
402####Facility_402####Hospital####926 Maple St, City R####@@@@
403####Facility_403####Clinic####719 Birch St, City Q####@@@@
404####Facility_404####Hospital####249 Cedar St, City C####@@@@
405####Facility_405####Clinic####682 Oak St, City Z####@@@@
406####Facility_406####Hospital####852 Cedar St, City Q####@@@@
407####Facility_407####Clinic####999 Oak St, City T####@@@@
408####Facility_408####Hospital####414 Pine St, City J####@@@@
409####Facility_409####Clinic####134 Oak St, City B####@@@@
410####Facility_410####Hospital####925 Maple St, City S####@@@@
411####Facility_411####Clinic####790 Maple St, City O####@@@@
412####Facility_412####Hospital####450 Oak St, City U####@@@@
413####Facility_413####Clinic####908 Birch St, City V####@@@@
414####Facility_414####Hospital####969 Pine St, City A####@@@@
415####Facility_415####Clinic####787 Maple St, City G####@@@@
416####Facility_416####Hospital####431 Birch St, City J####@@@@
417####Facility_417####Clinic####682 Elm St, City M####@@@@
418####Facility_418####Hospital####944 Maple St, City U####@@@@
419####Facility_419####Clinic####690 Cedar St, City F####@@@@
420####Facility_420####Hospital####316 Birch St, City S####@@@@
421####Facility_421####Clinic####585 Birch St, City J####@@@@
422####Facility_422####Hospital####865 Oak St, City Z####@@@@
423####Facility_423####Clinic####923 Elm St, City Q####@@@@
424####Facility_424####Hospital####971 Oak St, City F####@@@@
425####Facility_425####Clinic####919 Elm St, City I####@@@@
426####Facility_426####Hospital####404 Maple St, City H####@@@@
427####Facility_427####Clinic####404 Cedar St, City O####@@@@
428####Facility_428####Hospital####228 Maple St, City Z####@@@@
429####Facility_429####Clinic####474 Birch St, City T####@@@@
430####Facility_430####Hospital####930 Cedar St, City R####@@@@
431####Facility_431####Clinic####154 Maple St, City S####@@@@
432####Facility_432####Hospital####180 Maple St, City B####@@@@
433####Facility_433####Clinic####479 Birch St, City X####@@@@
434####Facility_434####Hospital####447 Birch St, City E####@@@@
435####Facility_435####Clinic####642 Maple St, City B####@@@@
436####Facility_436####Hospital####252 Pine St, City L####@@@@
437####Facility_437####Clinic####941 Cedar St, City V####@@@@
438####Facility_438####Hospital####157 Cedar St, City Y####@@@@
439####Facility_439####Clinic####123 Pine St, City Z####@@@@
440####Facility_440####Hospital####150 Cedar St, City M####@@@@
441####Facility_441####Clinic####842 Pine St, City Q####@@@@
442####Facility_442####Hospital####167 Oak St, City J####@@@@
443####Facility_443####Clinic####197 Cedar St, City M####@@@@
444####Facility_444####Hospital####682 Maple St, City G####@@@@
445####Facility_445####Clinic####551 Cedar St, City L####@@@@
446####Facility_446####Hospital####268 Cedar St, City K####@@@@
447####Facility_447####Clinic####719 Cedar St, City W####@@@@
448####Facility_448####Hospital####39 Maple St, City U####@@@@
449####Facility_449####Clinic####714 Oak St, City X####@@@@
450####Facility_450####Hospital####962 Cedar St, City Y####@@@@
451####Facility_451####Clinic####249 Birch St, City C####@@@@
452####Facility_452####Hospital####828 Pine St, City Z####@@@@
453####Facility_453####Clinic####976 Cedar St, City B####@@@@
454####Facility_454####Hospital####442 Maple St, City X####@@@@
455####Facility_455####Clinic####708 Elm St, City Z####@@@@
456####Facility_456####Hospital####551 Birch St, City S####@@@@
457####Facility_457####Clinic####856 Elm St, City K####@@@@
458####Facility_458####Hospital####274 Cedar St, City L####@@@@
459####Facility_459####Clinic####202 Pine St, City A####@@@@
460####Facility_460####Hospital####22 Elm St, City X####@@@@
461####Facility_461####Clinic####14 Cedar St, City I####@@@@
462####Facility_462####Hospital####380 Pine St, City B####@@@@
463####Facility_463####Clinic####618 Maple St, City N####@@@@
464####Facility_464####Hospital####324 Pine St, City R####@@@@
465####Facility_465####Clinic####197 Birch St, City D####@@@@
466####Facility_466####Hospital####443 Cedar St, City K####@@@@
467####Facility_467####Clinic####100 Oak St, City O####@@@@
468####Facility_468####Hospital####691 Oak St, City X####@@@@
469####Facility_469####Clinic####485 Oak St, City J####@@@@
470####Facility_470####Hospital####956 Oak St, City D####@@@@
471####Facility_471####Clinic####919 Pine St, City P####@@@@
472####Facility_472####Hospital####96 Cedar St, City K####@@@@
473####Facility_473####Clinic####690 Oak St, City O####@@@@
474####Facility_474####Hospital####160 Cedar St, City G####@@@@
