1####1####Downtown Dental####Dental####456 Elm St, Halifax####@@@@
36####476####Clinic_36####Type_1####723 Maple St, City X####@@@@
37####79####Clinic_37####Type_2####106 Elm St, City Z####@@@@
38####131####Clinic_38####Type_3####724 Maple St, City L####@@@@
39####753####Clinic_39####Type_4####458 Pine St, City T####@@@@
40####519####Clinic_40####Type_0####224 Maple St, City S####@@@@
41####977####Clinic_41####Type_1####39 Oak St, City M####@@@@
42####924####Clinic_42####Type_2####819 Elm St, City B####@@@@
43####42####Clinic_43####Type_3####934 Oak St, City V####@@@@
44####199####Clinic_44####Type_4####481 Elm St, City J####@@@@
45####893####Clinic_45####Type_0####338 Birch St, City Q####@@@@
46####212####Clinic_46####Type_1####915 Cedar St, City T####@@@@
47####41####Clinic_47####Type_2####654 Cedar St, City S####@@@@
48####626####Clinic_48####Type_3####388 Birch St, City A####@@@@
49####515####Clinic_49####Type_4####131 Cedar St, City T####@@@@
50####865####Clinic_50####Type_0####331 Pine St, City I####@@@@
51####788####Clinic_51####Type_1####360 Birch St, City D####@@@@
52####754####Clinic_52####Type_2####185 Cedar St, City W####@@@@
53####197####Clinic_53####Type_3####305 Birch St, City Z####@@@@
54####190####Clinic_54####Type_4####274 Maple St, City T####@@@@
55####854####Clinic_55####Type_0####429 Maple St, City F####@@@@
56####178####Clinic_56####Type_1####577 Oak St, City S####@@@@
57####820####Clinic_57####Type_2####22 Maple St, City S####@@@@
58####77####Clinic_58####Type_3####835 Pine St, City E####@@@@
59####966####Clinic_59####Type_4####762 Oak St, City Y####@@@@
60####147####Clinic_60####Type_0####428 Maple St, City N####@@@@
61####322####Clinic_61####Type_1####34 Elm St, City E####@@@@
62####231####Clinic_62####Type_2####73 Pine St, City Q####@@@@
63####262####Clinic_63####Type_3####348 Cedar St, City B####@@@@
64####882####Clinic_64####Type_4####221 Oak St, City Y####@@@@
65####836####Clinic_65####Type_0####938 Pine St, City I####@@@@
66####384####Clinic_66####Type_1####909 Maple St, City J####@@@@
67####936####Clinic_67####Type_2####871 Cedar St, City C####@@@@
68####879####Clinic_68####Type_3####358 Cedar St, City Z####@@@@
69####5####Clinic_69####Type_4####896 Pine St, City L####@@@@
70####996####Clinic_70####Type_0####492 Maple St, City Y####@@@@
71####607####Clinic_71####Type_1####14 Birch St, City E####@@@@
72####325####Clinic_72####Type_2####487 Birch St, City Z####@@@@
73####581####Clinic_73####Type_3####523 Cedar St, City T####@@@@
74####948####Clinic_74####Type_4####670 Birch St, City N####@@@@
75####593####Clinic_75####Type_0####772 Cedar St, City N####@@@@
76####60####Clinic_76####Type_1####989 Maple St, City L####@@@@
77####875####Clinic_77####Type_2####899 Cedar St, City F####@@@@
78####362####Clinic_78####Type_3####817 Maple St, City S####@@@@
79####802####Clinic_79####Type_4####715 Maple St, City F####@@@@
80####244####Clinic_80####Type_0####316 Oak St, City O####@@@@
81####590####Clinic_81####Type_1####83 Oak St, City I####@@@@
82####327####Clinic_82####Type_2####297 Oak St, City Y####@@@@
83####449####Clinic_83####Type_3####387 Birch St, City R####@@@@
84####25####Clinic_84####Type_4####492 Maple St, City O####@@@@
85####873####Clinic_85####Type_0####161 Cedar St, City C####@@@@
86####795####Clinic_86####Type_1####512 Oak St, City H####@@@@
87####416####Clinic_87####Type_2####591 Pine St, City Y####@@@@
88####1000####Clinic_88####Type_3####763 Cedar St, City Z####@@@@
89####389####Clinic_89####Type_4####60 Elm St, City C####@@@@
90####347####Clinic_90####Type_0####21 Elm St, City J####@@@@
91####949####Clinic_91####Type_1####293 Elm St, City J####@@@@
92####874####Clinic_92####Type_2####179 Pine St, City B####@@@@
93####785####Clinic_93####Type_3####577 Cedar St, City A####@@@@
94####785####Clinic_94####Type_4####3 Birch St, City J####@@@@
95####717####Clinic_95####Type_0####828 Oak St, City F####@@@@
96####857####Clinic_96####Type_1####249 Cedar St, City H####@@@@
97####908####Clinic_97####Type_2####367 Maple St, City O####@@@@
98####431####Clinic_98####Type_3####259 Cedar St, City W####@@@@
99####605####Clinic_99####Type_4####823 Pine St, City O####@@@@
100####737####Clinic_100####Type_0####989 Cedar St, City Z####@@@@
101####526####Clinic_101####Type_1####808 Maple St, City X####@@@@
102####960####Clinic_102####Type_2####769 Birch St, City O####@@@@
103####298####Clinic_103####Type_3####236 Oak St, City C####@@@@
104####935####Clinic_104####Type_4####350 Cedar St, City G####@@@@
105####7####Clinic_105####Type_0####794 Pine St, City A####@@@@
106####997####Clinic_106####Type_1####59 Oak St, City U####@@@@
107####367####Clinic_107####Type_2####927 Maple St, City X####@@@@
108####479####Clinic_108####Type_3####341 Elm St, City B####@@@@
109####923####Clinic_109####Type_4####329 Elm St, City O####@@@@
110####580####Clinic_110####Type_0####722 Maple St, City O####@@@@
111####510####Clinic_111####Type_1####440 Pine St, City R####@@@@
112####167####Clinic_112####Type_2####861 Birch St, City V####@@@@
113####446####Clinic_113####Type_3####83 Pine St, City S####@@@@
114####413####Clinic_114####Type_4####211 Pine St, City F####@@@@
115####845####Clinic_115####Type_0####151 Birch St, City X####@@@@
116####547####Clinic_116####Type_1####690 Birch St, City G####@@@@
117####88####Clinic_117####Type_2####803 Cedar St, City T####@@@@
118####227####Clinic_118####Type_3####947 Pine St, City L####@@@@
119####454####Clinic_119####Type_4####664 Cedar St, City M####@@@@
120####413####Clinic_120####Type_0####728 Pine St, City S####@@@@
121####59####Clinic_121####Type_1####397 Maple St, City Q####@@@@
122####990####Clinic_122####Type_2####649 Pine St, City G####@@@@
123####207####Clinic_123####Type_3####889 Cedar St, City Q####@@@@
124####128####Clinic_124####Type_4####818 Birch St, City W####@@@@
125####867####Clinic_125####Type_0####697 Cedar St, City Y####@@@@
126####373####Clinic_126####Type_1####523 Cedar St, City P####@@@@
127####265####Clinic_127####Type_2####168 Pine St, City F####@@@@
128####374####Clinic_128####Type_3####517 Elm St, City C####@@@@
129####907####Clinic_129####Type_4####2 Maple St, City U####@@@@
130####537####Clinic_130####Type_0####412 Elm St, City B####@@@@
131####561####Clinic_131####Type_1####323 Elm St, City T####@@@@
132####168####Clinic_132####Type_2####456 Birch St, City N####@@@@
133####138####Clinic_133####Type_3####689 Cedar St, City H####@@@@
134####518####Clinic_134####Type_4####342 Pine St, City U####@@@@
135####754####Clinic_135####Type_0####673 Maple St, City L####@@@@
136####713####Clinic_136####Type_1####967 Elm St, City Y####@@@@
137####294####Clinic_137####Type_2####538 Pine St, City B####@@@@
138####646####Clinic_138####Type_3####44 Pine St, City F####@@@@
139####336####Clinic_139####Type_4####580 Maple St, City O####@@@@
140####336####Clinic_140####Type_0####454 Oak St, City Y####@@@@
141####58####Clinic_141####Type_1####410 Elm St, City O####@@@@
142####540####Clinic_142####Type_2####967 Cedar St, City J####@@@@
143####482####Clinic_143####Type_3####789 Elm St, City U####@@@@
144####487####Clinic_144####Type_4####147 Oak St, City G####@@@@
145####579####Clinic_145####Type_0####580 Cedar St, City G####@@@@
146####896####Clinic_146####Type_1####989 Elm St, City C####@@@@
147####506####Clinic_147####Type_2####292 Maple St, City B####@@@@
148####104####Clinic_148####Type_3####70 Pine St, City G####@@@@
149####726####Clinic_149####Type_4####90 Elm St, City H####@@@@
150####484####Clinic_150####Type_0####716 Birch St, City L####@@@@
151####948####Clinic_151####Type_1####714 Cedar St, City X####@@@@
152####202####Clinic_152####Type_2####646 Cedar St, City I####@@@@
153####145####Clinic_153####Type_3####955 Pine St, City A####@@@@
154####776####Clinic_154####Type_4####620 Elm St, City X####@@@@
155####477####Clinic_155####Type_0####699 Elm St, City Y####@@@@
156####121####Clinic_156####Type_1####992 Elm St, City A####@@@@
157####617####Clinic_157####Type_2####491 Oak St, City Y####@@@@
158####319####Clinic_158####Type_3####563 Cedar St, City C####@@@@
159####620####Clinic_159####Type_4####558 Maple St, City W####@@@@
160####603####Clinic_160####Type_0####435 Maple St, City A####@@@@
161####247####Clinic_161####Type_1####232 Maple St, City A####@@@@
162####510####Clinic_162####Type_2####534 Elm St, City U####@@@@
163####937####Clinic_163####Type_3####673 Maple St, City B####@@@@
164####246####Clinic_164####Type_4####364 Maple St, City U####@@@@
165####285####Clinic_165####Type_0####835 Elm St, City W####@@@@
166####934####Clinic_166####Type_1####633 Elm St, City S####@@@@
167####785####Clinic_167####Type_2####901 Birch St, City Y####@@@@
168####601####Clinic_168####Type_3####128 Pine St, City O####@@@@
169####12####Clinic_169####Type_4####580 Pine St, City S####@@@@
170####344####Clinic_170####Type_0####127 Birch St, City D####@@@@
171####569####Clinic_171####Type_1####338 Pine St, City I####@@@@
172####206####Clinic_172####Type_2####81 Pine St, City P####@@@@
173####321####Clinic_173####Type_3####766 Pine St, City T####@@@@
174####819####Clinic_174####Type_4####264 Oak St, City B####@@@@
175####463####Clinic_175####Type_0####815 Oak St, City P####@@@@
176####521####Clinic_176####Type_1####525 Pine St, City A####@@@@
177####88####Clinic_177####Type_2####32 Pine St, City M####@@@@
178####572####Clinic_178####Type_3####808 Birch St, City M####@@@@
179####47####Clinic_179####Type_4####670 Birch St, City D####@@@@
180####606####Clinic_180####Type_0####534 Maple St, City Z####@@@@
181####729####Clinic_181####Type_1####237 Oak St, City F####@@@@
182####195####Clinic_182####Type_2####917 Birch St, City R####@@@@
183####343####Clinic_183####Type_3####483 Oak St, City U####@@@@
184####107####Clinic_184####Type_4####144 Elm St, City H####@@@@
185####550####Clinic_185####Type_0####342 Elm St, City A####@@@@
186####416####Clinic_186####Type_1####384 Elm St, City J####@@@@
187####869####Clinic_187####Type_2####39 Elm St, City X####@@@@
188####899####Clinic_188####Type_3####342 Cedar St, City J####@@@@
189####42####Clinic_189####Type_4####322 Oak St, City J####@@@@
190####720####Clinic_190####Type_0####883 Elm St, City Z####@@@@
191####813####Clinic_191####Type_1####736 Birch St, City U####@@@@
192####98####Clinic_192####Type_2####344 Maple St, City L####@@@@
193####699####Clinic_193####Type_3####801 Pine St, City U####@@@@
194####903####Clinic_194####Type_4####319 Oak St, City C####@@@@
195####245####Clinic_195####Type_0####940 Elm St, City P####@@@@
196####255####Clinic_196####Type_1####756 Oak St, City F####@@@@
197####757####Clinic_197####Type_2####461 Cedar St, City Z####@@@@
198####905####Clinic_198####Type_3####85 Pine St, City Z####@@@@
199####767####Clinic_199####Type_4####786 Oak St, City D####@@@@
200####488####Clinic_200####Type_0####220 Oak St, City A####@@@@
201####49####Clinic_201####Type_1####294 Cedar St, City O####@@@@
202####622####Clinic_202####Type_2####674 Pine St, City J####@@@@
203####193####Clinic_203####Type_3####281 Maple St, City D####@@@@
204####107####Clinic_204####Type_4####486 Elm St, City N####@@@@
205####167####Clinic_205####Type_0####678 Cedar St, City M####@@@@
206####845####Clinic_206####Type_1####10 Birch St, City X####@@@@
207####62####Clinic_207####Type_2####779 Cedar St, City U####@@@@
208####992####Clinic_208####Type_3####289 Maple St, City Z####@@@@
209####999####Clinic_209####Type_4####156 Elm St, City R####@@@@
210####317####Clinic_210####Type_0####577 Oak St, City K####@@@@
211####167####Clinic_211####Type_1####211 Cedar St, City C####@@@@
212####303####Clinic_212####Type_2####149 Oak St, City W####@@@@
213####137####Clinic_213####Type_3####185 Oak St, City U####@@@@
214####459####Clinic_214####Type_4####574 Cedar St, City C####@@@@
215####421####Clinic_215####Type_0####770 Birch St, City K####@@@@
216####322####Clinic_216####Type_1####703 Pine St, City Y####@@@@
217####267####Clinic_217####Type_2####21 Pine St, City W####@@@@
218####968####Clinic_218####Type_3####710 Elm St, City C####@@@@
219####466####Clinic_219####Type_4####913 Elm St, City C####@@@@
220####187####Clinic_220####Type_0####661 Cedar St, City H####@@@@
221####368####Clinic_221####Type_1####845 Oak St, City J####@@@@
222####970####Clinic_222####Type_2####609 Cedar St, City K####@@@@
223####434####Clinic_223####Type_3####931 Oak St, City K####@@@@
224####439####Clinic_224####Type_4####154 Pine St, City A####@@@@
225####825####Clinic_225####Type_0####299 Pine St, City E####@@@@
226####179####Clinic_226####Type_1####802 Cedar St, City C####@@@@
227####801####Clinic_227####Type_2####670 Birch St, City J####@@@@
228####492####Clinic_228####Type_3####166 Pine St, City X####@@@@
229####281####Clinic_229####Type_4####839 Cedar St, City Y####@@@@
230####301####Clinic_230####Type_0####103 Birch St, City F####@@@@
231####466####Clinic_231####Type_1####747 Birch St, City U####@@@@
232####1####Clinic_232####Type_2####484 Birch St, City V####@@@@
233####319####Clinic_233####Type_3####864 Birch St, City Q####@@@@
234####373####Clinic_234####Type_4####752 Maple St, City C####@@@@
235####61####Clinic_235####Type_0####19 Oak St, City G####@@@@
236####727####Clinic_236####Type_1####342 Maple St, City E####@@@@
237####741####Clinic_237####Type_2####760 Cedar St, City C####@@@@
238####408####Clinic_238####Type_3####308 Elm St, City H####@@@@
239####448####Clinic_239####Type_4####288 Maple St, City R####@@@@
240####869####Clinic_240####Type_0####550 Maple St, City L####@@@@
241####286####Clinic_241####Type_1####232 Oak St, City H####@@@@
242####138####Clinic_242####Type_2####205 Birch St, City R####@@@@
243####656####Clinic_243####Type_3####417 Maple St, City X####@@@@
244####354####Clinic_244####Type_4####535 Cedar St, City Y####@@@@
245####446####Clinic_245####Type_0####372 Cedar St, City H####@@@@
246####713####Clinic_246####Type_1####894 Pine St, City U####@@@@
247####337####Clinic_247####Type_2####106 Maple St, City X####@@@@
248####225####Clinic_248####Type_3####994 Cedar St, City J####@@@@
249####216####Clinic_249####Type_4####638 Maple St, City O####@@@@
250####88####Clinic_250####Type_0####993 Oak St, City P####@@@@
251####253####Clinic_251####Type_1####871 Oak St, City J####@@@@
252####583####Clinic_252####Type_2####352 Cedar St, City L####@@@@
253####112####Clinic_253####Type_3####219 Cedar St, City M####@@@@
254####461####Clinic_254####Type_4####470 Birch St, City K####@@@@
255####811####Clinic_255####Type_0####486 Birch St, City U####@@@@
256####843####Clinic_256####Type_1####546 Cedar St, City D####@@@@
257####467####Clinic_257####Type_2####515 Pine St, City W####@@@@
258####442####Clinic_258####Type_3####969 Elm St, City I####@@@@
259####329####Clinic_259####Type_4####983 Birch St, City L####@@@@
260####683####Clinic_260####Type_0####404 Cedar St, City A####@@@@
261####819####Clinic_261####Type_1####534 Oak St, City D####@@@@
262####910####Clinic_262####Type_2####886 Pine St, City F####@@@@
263####844####Clinic_263####Type_3####330 Oak St, City M####@@@@
264####92####Clinic_264####Type_4####106 Maple St, City C####@@@@
265####592####Clinic_265####Type_0####284 Cedar St, City Q####@@@@
266####922####Clinic_266####Type_1####204 Elm St, City X####@@@@
267####911####Clinic_267####Type_2####112 Maple St, City Q####@@@@
268####409####Clinic_268####Type_3####570 Oak St, City X####@@@@
269####621####Clinic_269####Type_4####26 Pine St, City T####@@@@
270####822####Clinic_270####Type_0####84 Pine St, City L####@@@@
271####702####Clinic_271####Type_1####176 Oak St, City J####@@@@
272####559####Clinic_272####Type_2####183 Elm St, City T####@@@@
273####903####Clinic_273####Type_3####328 Cedar St, City E####@@@@
274####891####Clinic_274####Type_4####3 Birch St, City C####@@@@
275####519####Clinic_275####Type_0####696 Elm St, City G####@@@@
276####773####Clinic_276####Type_1####241 Elm St, City T####@@@@
277####794####Clinic_277####Type_2####778 Oak St, City W####@@@@
278####576####Clinic_278####Type_3####487 Elm St, City M####@@@@
279####33####Clinic_279####Type_4####190 Maple St, City V####@@@@
280####432####Clinic_280####Type_0####673 Oak St, City W####@@@@
281####794####Clinic_281####Type_1####692 Cedar St, City M####@@@@
282####728####Clinic_282####Type_2####333 Birch St, City R####@@@@
283####780####Clinic_283####Type_3####657 Birch St, City D####@@@@
284####28####Clinic_284####Type_4####663 Maple St, City G####@@@@
285####678####Clinic_285####Type_0####3 Elm St, City F####@@@@
286####731####Clinic_286####Type_1####317 Birch St, City W####@@@@
287####1####Clinic_287####Type_2####759 Cedar St, City N####@@@@
288####926####Clinic_288####Type_3####794 Maple St, City Y####@@@@
289####227####Clinic_289####Type_4####150 Maple St, City P####@@@@
290####101####Clinic_290####Type_0####307 Cedar St, City V####@@@@
291####251####Clinic_291####Type_1####971 Elm St, City C####@@@@
292####127####Clinic_292####Type_2####963 Pine St, City P####@@@@
293####218####Clinic_293####Type_3####960 Oak St, City X####@@@@
294####698####Clinic_294####Type_4####716 Pine St, City L####@@@@
295####876####Clinic_295####Type_0####711 Maple St, City E####@@@@
296####233####Clinic_296####Type_1####325 Birch St, City T####@@@@
297####952####Clinic_297####Type_2####596 Birch St, City A####@@@@
298####742####Clinic_298####Type_3####845 Birch St, City M####@@@@
299####838####Clinic_299####Type_4####317 Elm St, City L####@@@@
300####540####Clinic_300####Type_0####295 Cedar St, City Q####@@@@
301####441####Clinic_301####Type_1####970 Pine St, City Q####@@@@
302####233####Clinic_302####Type_2####390 Elm St, City L####@@@@
303####797####Clinic_303####Type_3####479 Oak St, City F####@@@@
304####404####Clinic_304####Type_4####94 Maple St, City M####@@@@
305####774####Clinic_305####Type_0####663 Oak St, City N####@@@@
306####654####Clinic_306####Type_1####252 Pine St, City Q####@@@@
307####160####Clinic_307####Type_2####711 Oak St, City V####@@@@
308####93####Clinic_308####Type_3####491 Oak St, City L####@@@@
309####894####Clinic_309####Type_4####64 Cedar St, City D####@@@@
310####578####Clinic_310####Type_0####30 Cedar St, City W####@@@@
311####47####Clinic_311####Type_1####591 Pine St, City Y####@@@@
312####356####Clinic_312####Type_2####895 Elm St, City B####@@@@
313####541####Clinic_313####Type_3####564 Oak St, City A####@@@@
314####753####Clinic_314####Type_4####991 Elm St, City C####@@@@
315####992####Clinic_315####Type_0####750 Maple St, City N####@@@@
316####962####Clinic_316####Type_1####421 Oak St, City A####@@@@
317####58####Clinic_317####Type_2####22 Oak St, City Y####@@@@
318####861####Clinic_318####Type_3####5 Pine St, City L####@@@@
319####142####Clinic_319####Type_4####649 Pine St, City A####@@@@
320####585####Clinic_320####Type_0####668 Oak St, City E####@@@@
321####40####Clinic_321####Type_1####281 Pine St, City E####@@@@
322####737####Clinic_322####Type_2####523 Oak St, City F####@@@@
323####466####Clinic_323####Type_3####817 Elm St, City H####@@@@
324####670####Clinic_324####Type_4####196 Elm St, City A####@@@@
325####372####Clinic_325####Type_0####376 Birch St, City F####@@@@
326####854####Clinic_326####Type_1####43 Elm St, City Q####@@@@
327####992####Clinic_327####Type_2####190 Cedar St, City M####@@@@
328####935####Clinic_328####Type_3####685 Maple St, City K####@@@@
329####67####Clinic_329####Type_4####139 Maple St, City V####@@@@
330####2####Clinic_330####Type_0####433 Maple St, City B####@@@@
331####341####Clinic_331####Type_1####706 Oak St, City K####@@@@
332####66####Clinic_332####Type_2####61 Pine St, City J####@@@@
333####644####Clinic_333####Type_3####115 Birch St, City U####@@@@
334####853####Clinic_334####Type_4####143 Birch St, City B####@@@@
335####230####Clinic_335####Type_0####142 Cedar St, City N####@@@@
336####210####Clinic_336####Type_1####730 Elm St, City S####@@@@
337####303####Clinic_337####Type_2####96 Oak St, City W####@@@@
338####397####Clinic_338####Type_3####438 Birch St, City D####@@@@
339####868####Clinic_339####Type_4####765 Cedar St, City Z####@@@@
340####275####Clinic_340####Type_0####472 Maple St, City T####@@@@
341####720####Clinic_341####Type_1####159 Maple St, City Y####@@@@
342####83####Clinic_342####Type_2####727 Cedar St, City N####@@@@
343####813####Clinic_343####Type_3####80 Birch St, City R####@@@@
344####854####Clinic_344####Type_4####156 Birch St, City U####@@@@
345####692####Clinic_345####Type_0####486 Oak St, City K####@@@@
346####379####Clinic_346####Type_1####95 Birch St, City V####@@@@
347####777####Clinic_347####Type_2####772 Birch St, City U####@@@@
348####306####Clinic_348####Type_3####800 Maple St, City J####@@@@
349####171####Clinic_349####Type_4####425 Birch St, City U####@@@@
350####25####Clinic_350####Type_0####697 Elm St, City L####@@@@
351####974####Clinic_351####Type_1####903 Birch St, City D####@@@@
352####931####Clinic_352####Type_2####785 Oak St, City I####@@@@
353####191####Clinic_353####Type_3####631 Cedar St, City P####@@@@
354####362####Clinic_354####Type_4####68 Oak St, City L####@@@@
355####403####Clinic_355####Type_0####471 Pine St, City C####@@@@
356####786####Clinic_356####Type_1####826 Cedar St, City B####@@@@
357####543####Clinic_357####Type_2####534 Birch St, City E####@@@@
358####871####Clinic_358####Type_3####873 Maple St, City U####@@@@
359####662####Clinic_359####Type_4####663 Elm St, City V####@@@@
360####328####Clinic_360####Type_0####743 Elm St, City I####@@@@
361####372####Clinic_361####Type_1####481 Cedar St, City R####@@@@
362####754####Clinic_362####Type_2####244 Oak St, City M####@@@@
363####462####Clinic_363####Type_3####503 Birch St, City H####@@@@
364####918####Clinic_364####Type_4####744 Pine St, City Q####@@@@
365####565####Clinic_365####Type_0####234 Pine St, City F####@@@@
366####783####Clinic_366####Type_1####156 Oak St, City Q####@@@@
367####164####Clinic_367####Type_2####467 Birch St, City H####@@@@
368####376####Clinic_368####Type_3####60 Oak St, City Q####@@@@
369####31####Clinic_369####Type_4####573 Birch St, City Z####@@@@
370####27####Clinic_370####Type_0####650 Pine St, City W####@@@@
371####445####Clinic_371####Type_1####101 Oak St, City W####@@@@
372####939####Clinic_372####Type_2####223 Pine St, City I####@@@@
373####753####Clinic_373####Type_3####546 Oak St, City O####@@@@
374####206####Clinic_374####Type_4####29 Maple St, City M####@@@@
375####147####Clinic_375####Type_0####7 Maple St, City K####@@@@
376####118####Clinic_376####Type_1####643 Cedar St, City J####@@@@
377####744####Clinic_377####Type_2####299 Oak St, City M####@@@@
378####162####Clinic_378####Type_3####378 Cedar St, City V####@@@@
379####752####Clinic_379####Type_4####492 Cedar St, City Z####@@@@
380####16####Clinic_380####Type_0####638 Oak St, City N####@@@@
381####294####Clinic_381####Type_1####809 Pine St, City K####@@@@
382####756####Clinic_382####Type_2####399 Cedar St, City A####@@@@
383####584####Clinic_383####Type_3####271 Cedar St, City Z####@@@@
384####242####Clinic_384####Type_4####790 Elm St, City C####@@@@
385####819####Clinic_385####Type_0####408 Pine St, City T####@@@@
386####233####Clinic_386####Type_1####622 Elm St, City S####@@@@
387####681####Clinic_387####Type_2####604 Elm St, City C####@@@@
388####104####Clinic_388####Type_3####719 Cedar St, City A####@@@@
389####363####Clinic_389####Type_4####979 Elm St, City J####@@@@
390####27####Clinic_390####Type_0####507 Maple St, City K####@@@@
391####273####Clinic_391####Type_1####254 Birch St, City H####@@@@
392####425####Clinic_392####Type_2####876 Cedar St, City V####@@@@
393####749####Clinic_393####Type_3####237 Oak St, City C####@@@@
394####875####Clinic_394####Type_4####864 Cedar St, City B####@@@@
395####116####Clinic_395####Type_0####528 Elm St, City R####@@@@
396####71####Clinic_396####Type_1####873 Maple St, City P####@@@@
397####952####Clinic_397####Type_2####715 Maple St, City K####@@@@
398####757####Clinic_398####Type_3####675 Birch St, City I####@@@@
399####898####Clinic_399####Type_4####799 Birch St, City Q####@@@@
400####418####Clinic_400####Type_0####647 Cedar St, City G####@@@@
401####294####Clinic_401####Type_1####621 Pine St, City Q####@@@@
402####524####Clinic_402####Type_2####337 Cedar St, City A####@@@@
403####443####Clinic_403####Type_3####857 Pine St, City U####@@@@
404####535####Clinic_404####Type_4####188 Pine St, City K####@@@@
405####322####Clinic_405####Type_0####299 Birch St, City Y####@@@@
406####402####Clinic_406####Type_1####331 Pine St, City B####@@@@
407####134####Clinic_407####Type_2####611 Cedar St, City K####@@@@
408####218####Clinic_408####Type_3####49 Cedar St, City L####@@@@
409####335####Clinic_409####Type_4####752 Oak St, City Q####@@@@
410####749####Clinic_410####Type_0####242 Birch St, City D####@@@@
411####866####Clinic_411####Type_1####353 Oak St, City Z####@@@@
412####584####Clinic_412####Type_2####727 Pine St, City Z####@@@@
413####958####Clinic_413####Type_3####467 Pine St, City S####@@@@
414####314####Clinic_414####Type_4####870 Maple St, City W####@@@@
415####815####Clinic_415####Type_0####38 Cedar St, City V####@@@@
416####142####Clinic_416####Type_1####299 Pine St, City U####@@@@
417####952####Clinic_417####Type_2####863 Cedar St, City S####@@@@
418####37####Clinic_418####Type_3####279 Elm St, City R####@@@@
419####339####Clinic_419####Type_4####325 Pine St, City X####@@@@
420####185####Clinic_420####Type_0####522 Cedar St, City V####@@@@
421####177####Clinic_421####Type_1####468 Cedar St, City M####@@@@
422####173####Clinic_422####Type_2####91 Cedar St, City P####@@@@
423####739####Clinic_423####Type_3####44 Birch St, City Y####@@@@
424####682####Clinic_424####Type_4####562 Elm St, City R####@@@@
425####681####Clinic_425####Type_0####294 Birch St, City Q####@@@@
426####46####Clinic_426####Type_1####294 Birch St, City U####@@@@
427####912####Clinic_427####Type_2####823 Pine St, City M####@@@@
428####97####Clinic_428####Type_3####396 Elm St, City A####@@@@
429####150####Clinic_429####Type_4####897 Maple St, City G####@@@@
430####128####Clinic_430####Type_0####147 Birch St, City W####@@@@
431####788####Clinic_431####Type_1####19 Maple St, City D####@@@@
432####222####Clinic_432####Type_2####440 Birch St, City Z####@@@@
433####925####Clinic_433####Type_3####257 Elm St, City K####@@@@
434####721####Clinic_434####Type_4####881 Birch St, City G####@@@@
435####971####Clinic_435####Type_0####203 Pine St, City L####@@@@
436####410####Clinic_436####Type_1####825 Oak St, City I####@@@@
437####358####Clinic_437####Type_2####24 Elm St, City T####@@@@
438####281####Clinic_438####Type_3####734 Pine St, City X####@@@@
439####718####Clinic_439####Type_4####111 Cedar St, City M####@@@@
440####474####Clinic_440####Type_0####637 Cedar St, City V####@@@@
441####296####Clinic_441####Type_1####366 Birch St, City T####@@@@
442####886####Clinic_442####Type_2####934 Birch St, City T####@@@@
